RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
District 2 Community Center,"1201 N. La Tijera Blvd. , Inglewood, 90302",Match,Non_Exact,"1201 N LA TIJERA BLVD, INGLEWOOD, CA, 90302",-118.3699692,33.97910203,141653564,L,06,037,601301,2006
George Lane Park,"5520 W Ave L8, Quartz Hill, 93536",Match,Non_Exact,"5520 W AVE L8, QUARTZ HILL, CA, 93536",-118.2279392,34.65284725,141829130,L,06,037,901101,1019
East San Gabriel Valley Comprehensive AJCC,"14101 E. Nelson Avenue, La Puente, 91746",Match,Non_Exact,"14101 E NELSON AVE, LA PUENTE, CA, 91746",-117.9806517,34.04332747,142748907,L,06,037,407102,2001
Palomares Park Community Center,"499 E Arrow Hwy, Pomona, 91766",Match,Non_Exact,"499 E ARROW HWY, POMONA, CA, 91767",-117.7418058,34.09007241,640108635,L,06,037,402102,1000
West Valley Regional Branch Library,"19036 Vanowen Street, Reseda, 91335",Match,Non_Exact,"19036 VANOWEN ST, RESEDA, CA, 91335",-118.5478111,34.19378185,141554242,L,06,037,132502,1001
Baldwin Park AJCC,"4640 Maine Avenue , Baldwin Park, 91703",Match,Non_Exact,"4640 MAINE AVE, BALDWIN PARK, CA, 91706",-117.960435,34.09710353,142780353,R,06,037,405101,1005
Duarte Library,"1301 Buena Vista Street, Duarte, 91010",Match,Non_Exact,"1301 BUENA VISTA ST, DUARTE, CA, 91010",-117.9776236,34.13828782,638626546,R,06,037,430101,3008
Westlake Village Library ,"31220 W. Oak Crest Dr. , Westlake Village, 91361",Match,Non_Exact,"31220 OAK CREST DR, WESTLAKE VILLAGE, CA, 91361",-118.7993524,34.14437215,241249649,L,06,037,800335,1003
San Pedro Service Center,"769 W. Third Street, San Pedro, 90731",Match,Non_Exact,"769 W 3RD ST, SAN PEDRO, CA, 90731",-118.293815,33.74143902,141689673,L,06,037,296600,4007
Alexander Hughes Community Center,"1700 Danbury Rd., Claremont, 91711",Match,Non_Exact,"1700 DANBURY RD, CLAREMONT, CA, 91711",-117.7338099,34.11601014,141732258,R,06,037,401802,2015
Felipe de Neve Branch Library,"2820 W. 6th Street, Los Angeles, 90057",Match,Non_Exact,"2820 W 6TH ST, LOS ANGELES, CA, 90057",-118.2845833,34.06365797,141605028,L,06,037,211123,1000
Helen Keller Park,"12521 Vermont Ave, Los Angeles, 90044",Match,Non_Exact,"12521 S VERMONT AVE, LOS ANGELES, CA, 90044",-118.2918629,33.91898789,241242981,R,06,037,602802,2007
Gus Velasco Neighborhood Center," 9255 South Pioneer Blvd, Santa Fe Springs, 90670",Match,Non_Exact,"9255 PIONEER BLVD, SANTA FE SPRINGS, CA, 90670",-118.0850227,33.95856664,241121516,R,06,037,502700,1003
Agoura Hills Library,"29901 Ladyface Court, Agoura Hills, 91301",Match,Non_Exact,"29901 LADYFACE CT, AGOURA HILLS, CA, 91301",-118.7752533,34.1439041,241115344,L,06,037,800335,3005
Will & Ariel Durant Branch Library,"7140 W. Sunset Boulevard, Los Angeles, 90046",Match,Non_Exact,"7140 W SUNSET BLVD, LOS ANGELES, CA, 90046",-118.3454408,34.09791385,141599387,L,06,037,189906,1001
Jackie Robinson Community Center,"1020 N. Fair Oaks Ave. , Pasadena , 91103",Match,Non_Exact,"1020 N FAIR OAKS AVE, PASADENA, CA, 91103",-118.150559,34.16355557,142254580,R,06,037,462002,1003
San Pedro Regional Library,"931 S. Gaffey Street, San Pedro, 90731",Match,Non_Exact,"931 S GAFFEY ST, SAN PEDRO, CA, 90731",-118.2924056,33.73638145,141690566,R,06,037,296600,3007
Edendale Branch Library,"2011 W. Sunset Boulevard, Los Angeles, 90026",Match,Non_Exact,"2011 W SUNSET BLVD, LOS ANGELES, CA, 90026",-118.2626995,34.07780756,141615969,R,06,037,195600,2000
San Fernando Library ,"217 N Maclay Avenue, San Fernando, 91340",Match,Non_Exact,"217 N MACLAY AVE, SAN FERNANDO, CA, 91340",-118.4387564,34.28522077,141547991,L,06,037,320201,3010
Sherman Oaks Martin Pollard Branch Library,"14245 Moorpark Street, Sherman Oaks, 91423",Match,Non_Exact,"14245 MOORPARK ST, SHERMAN OAKS, CA, 91423",-118.4432911,34.15094957,141561700,R,06,037,141201,2004
Harbor City - Harbor Gateway Branch Library,"24000 S. Western, Harbor City, 90710",Match,Non_Exact,"24000 WESTERN AVE, HARBOR CITY, CA, 90710",-118.3075054,33.80713364,653204344,L,06,037,293302,1000
Pomona Valley AJCC,"1460 E Holt Ave , Pomona, 91767",Match,Non_Exact,"1460 E HOLT AVE, POMONA, CA, 91767",-117.7226368,34.06300483,655799663,R,06,037,402702,1005
Mary M. Bethune Park,"1244 E 61st St, Los Angeles, 90001",Match,Non_Exact,"1244 E 61ST ST, LOS ANGELES, CA, 90001",-118.2531161,33.98427666,141670639,R,06,037,532800,2008
Junipero Serra Branch Library,"4607 S. Main Street, Los Angeles, 90037",Match,Non_Exact,"4607 S MAIN ST, LOS ANGELES, CA, 90037",-118.2740424,34.00190424,141608267,R,06,037,231902,1002
Lancaster Library ,"601 W Lancaster Blvd , Lancaster, 93534",Match,Non_Exact,"601 W LANCASTER BLVD, LANCASTER, CA, 93534",-118.1395782,34.69814966,141526441,L,06,037,900806,1023
Westchester - Loyola Village Branch Library,"7114 W. Manchester Avenue, Los Angeles, 90045",Match,Non_Exact,"7114 W MANCHESTER AVE, LOS ANGELES, CA, 90045",-118.4170743,33.95968287,647615152,L,06,037,278001,2011
Don Knabe Community Regional Park,"19700 Bloomfield Ave, Cerritos, 90703",Match,Non_Exact,"19700 BLOOMFIELD AVE, CERRITOS, CA, 90703",-118.0634291,33.85215075,640425678,L,06,037,554519,2000
Donald Bruce Kaufman - Brentwood Branch Library,"11820 San Vicente Boulevard, Los Angeles, 90049",Match,Non_Exact,"11820 SAN VICENTE BLVD, LOS ANGELES, CA, 90049",-118.4685217,34.05282548,141566936,L,06,037,264303,1002
Jesse Owens Park," 9651 S. Western Ave., Los Angeles, 90047",Match,Non_Exact,"9651 S WESTERN AVE, LOS ANGELES, CA, 90047",-118.3090754,33.94648886,141659046,R,06,037,238000,5009
Vernon - Leon H. Washington Jr. Memorial Branch Library,"4504 S. Central Avenue, Los Angeles, 90011",Match,Non_Exact,"4504 S CENTRAL AVE, LOS ANGELES, CA, 90011",-118.2564042,34.00279937,141620162,L,06,037,228710,1001
Monrovia Community Center,"119 W. Palm Ave. , Monrovia, 91016",Match,Non_Exact,"119 W PALM AVE, MONROVIA, CA, 91016",-118.001479,34.14921821,141646558,R,06,037,431004,2007
Angelo M Iacoboni Library ,"4990 Clark Ave. , Lakewood , 90712",Match,Non_Exact,"4990 CLARK AVE, LAKEWOOD, CA, 90712",-118.1337025,33.84861805,141699764,R,06,037,570800,3010
Eagle Rock Branch Library,"5027 Caspar Avenue, Los Angeles, 90041",Match,Non_Exact,"5027 CASPAR AVE, LOS ANGELES, CA, 90041",-118.2132961,34.13739371,141613253,L,06,037,181400,3009
Bartlett Senior Center,"1318 Cravens Avenue, Torrence , 90501",Match,Non_Exact,"1318 CRAVENS AVE, TORRANCE, CA, 90501",-118.3183557,33.8351523,142758852,L,06,037,650901,4021
Hacienda Heights Library,"16010 La Monde Street, Hacienda Heights, 91745",Match,Non_Exact,"16010 LA MONDE ST, HACIENDA HEIGHTS, CA, 91745",-117.9631605,33.99355489,241252933,R,06,037,408625,2008
La Crescenta Library,"2809 Foothill Blvd, La Crescenta, 91214",Match,Non_Exact,"2809 FOOTHILL BLVD, LA CRESCENTA, CA, 91214",-118.2400918,34.22430684,141589870,R,06,037,300200,3015
Athens Park,"12603 S Broadway, Los Angeles, 90061",Match,Non_Exact,"12603 S BROADWAY, LOS ANGELES, CA, 90061",-118.2783674,33.91879104,141662589,R,06,037,540901,3019
Southeast Library,"23115 Arlington Avenue, Torrance, 90501",Match,Non_Exact,"23115 ARLINGTON AVE, TORRANCE, CA, 90501",-118.3199248,33.81548839,141668707,R,06,037,651002,2006
Norwalk Library,"12350 Imperial Highway, Norwalk, 90650",Match,Non_Exact,"12350 IMPERIAL HWY, NORWALK, CA, 90650",-118.0692763,33.9170228,142658844,R,06,037,552301,1002
Lloyd Taber-Marina del Rey Library,"4533 Admiralty Way, Marina Del Rey, 90292",Match,Non_Exact,"4533 ADMIRALTY WAY, MARINA DEL REY, CA, 90292",-118.4564205,33.98389564,142454893,R,06,037,702900,4007
Mar Vista Branch Library,"12006 Venice Boulevard, Los Angeles, 90066",Match,Non_Exact,"12006 VENICE BLVD, LOS ANGELES, CA, 90066",-118.4289129,34.00602639,141570840,L,06,037,272302,1001
Palmdale AJCC,"38510 Sierra Highway, Palmdale, 93550",Match,Non_Exact,"38510 SIERRA HWY, PALMDALE, CA, 93550",-118.116863,34.581803,141529365,R,06,037,910501,1001
Rogers Park,"400 W. Beach Ave, Inglewood, 90301",Match,Non_Exact,"400 W BEACH AVE, INGLEWOOD, CA, 90302",-118.3595392,33.96919445,629803772,L,06,037,601302,1004
Silver Lake Branch Library,"2411 Glendale Blvd, Los Angeles, 90039",Match,Non_Exact,"2411 GLENDALE BLVD, LOS ANGELES, CA, 90039",-118.259291,34.1002762,141610823,L,06,037,195100,1008
Quartz Hill Library ,"5040 West Avenue M-2 , Quartz Hill , 93536",Match,Non_Exact,"5040 W AVE M2, QUARTZ HILL, CA, 93536",-118.2199981,34.64344878,649818187,R,06,037,910301,2008
Sylmar Branch Library,"14561 Polk Street, Sylmar, 91342",Match,Non_Exact,"14561 POLK ST, SYLMAR, CA, 91342",-118.4502914,34.30715663,141545796,R,06,037,106520,1011
Atwater Village Branch Library,"3379 Glendale Boulevard, Los Angeles, 90039",Match,Non_Exact,"3379 GLENDALE BLVD, LOS ANGELES, CA, 90039",-118.2591562,34.11985369,141610644,L,06,037,188300,1007
Vermont Square Branch Library,"1201 W. 48th. Street, Los Angeles, 90037",Match,Non_Exact,"1201 E 48TH ST, LOS ANGELES, CA, 90011",-118.2542696,33.99989245,141620247,L,06,037,228710,1004
Walteria Library,"3815 242nd Street, Torrance, 90505",Match,Non_Exact,"3815 W 242ND ST, TORRANCE, CA, 90505",-118.3535042,33.80443879,141665514,R,06,037,651402,2003
Exposition Park - Dr. Mary McLeod Bethune Regional Library,"3900 S. Western Ave, Los Angeles, 90062",Match,Non_Exact,"3900 S WESTERN AVE, LOS ANGELES, CA, 90062",-118.308834,34.01456462,141606528,L,06,037,231302,2004
Hacienda Community and Recreation Center,"1234 Valencia Ave, Hacienda Heights, 91745",Match,Non_Exact,"1234 VALENCIA AVE, HACIENDA HEIGHTS, CA, 91745",-117.9790125,34.01349567,141653206,L,06,037,408401,1017
Westwood Branch Library,"1246 Glendon Avenue, Los Angeles, 90024",Match,Non_Exact,"1246 GLENDON AVE, LOS ANGELES, CA, 90024",-118.4420943,34.05826653,142450663,L,06,037,265522,1000
Inglewood Main Library,"101 W. Manchester Blvd, Inglewood, 90301",Match,Non_Exact,"101 W MANCHESTER BLVD, INGLEWOOD, CA, 90301",-118.3554346,33.9618137,241128460,L,06,037,601211,1007
Darby Park,"3400 W. Arbor Vitae Street, Inglewood, 90301",Match,Non_Exact,"3400 W ARBOR VITAE ST, INGLEWOOD, CA, 90305",-118.3296808,33.9524029,142847268,L,06,037,600702,3000
Topanga Library,"122 N Topanga Canyon Blvd, Topanga , 90290",Match,Non_Exact,"122 TOPANGA CANYON BLVD, TOPANGA, CA, 90290",-118.603821,34.09019527,142710794,R,06,037,800104,1014
Echo Park Branch Library,"1410 W. Temple Street, Los Angeles, 90026",Match,Non_Exact,"1410 W TEMPLE ST, LOS ANGELES, CA, 90026",-118.2569474,34.0672845,141616857,L,06,037,208002,2002
Encino - Tarzana Branch Library,"18231 Ventura Boulevard, Tarzana, 91356",Match,Non_Exact,"18231 VENTURA BLVD, TARZANA, CA, 91356",-118.5297998,34.16633957,141555003,R,06,037,139502,1001
Rio Hondo Comprehensive AJCC,"10400 Pioneer Blvd., Suite 9, Santa Fe Springs, 90670",Match,Non_Exact,"10400 PIONEER BLVD, SANTA FE SPRINGS, CA, 90670",-118.0817008,33.94185385,649782834,L,06,037,504200,1021
Washington Irving Branch Library,"4117 W. Washington Boulevard, Los Angeles, 90018",Match,Non_Exact,"4117 W WASHINGTON BLVD, LOS ANGELES, CA, 90018",-118.3288857,34.03993345,141602051,R,06,037,218110,2004
Canoga Park Branch Library,"20939 Sherman Way, Canoga Park, 91303",Match,Non_Exact,"20939 SHERMAN WAY, CANOGA PARK, CA, 91303",-118.593066,34.20109497,141535195,R,06,037,134521,2005
Huntington Park Library,"6518 Miles Avenue, Huntington Park , 90255",Match,Non_Exact,"6518 MILES AVE, HUNTINGTON PARK, CA, 90255",-118.2190152,33.98019266,142661882,L,06,037,533108,3002
Paramount Community Center,"14400 Paramount Blvd., Paramount, 90723",Match,Non_Exact,"14400 PARAMOUNT BLVD, PARAMOUNT, CA, 90723",-118.1600126,33.90267505,142849000,L,06,037,553502,2000
Angeles Mesa Branch Library,"2700 W. 52nd Street, Los Angeles, 90043",Match,Non_Exact,"2700 W 52ND ST, LOS ANGELES, CA, 90043",-118.3225837,33.99496229,141657813,L,06,037,234600,1006
Los Feliz Branch Library,"1874 Hillhurst Avenue, Los Angeles, 90027",Match,Non_Exact,"1874 HILLHURST AVE, LOS ANGELES, CA, 90027",-118.2873439,34.10496888,141597612,R,06,037,189101,1004
Hyde Park Miriam Matthews Branch Library,"2205 W. Florence Avenue, Los Angeles, 90043",Match,Non_Exact,"2205 W FLORENCE AVE, LOS ANGELES, CA, 90043",-118.3178448,33.97463845,141658062,R,06,037,235201,1010
El Retiro Library,"126 Vista Del Parque, Redondo Beach, 90277",Match,Non_Exact,"126 VIS DEL PARQUE, REDONDO BEACH, CA, 90277",-118.379691,33.8152839,142722564,L,06,037,651304,2008
Central Library,"630 W. 5th Street, Los Angeles, 90071",Match,Non_Exact,"630 W 5TH ST, LOS ANGELES, CA, 90012",-118.2564749,34.05175078,141617170,L,06,037,207712,2000
Salazar Park,"3864 Whittier Blvd., Los Angeles, 90023",Match,Non_Exact,"3864 WHITTIER BLVD, LOS ANGELES, CA, 90023",-118.1915663,34.02386185,241240781,R,06,037,531301,2002
Lincoln Heights Branch Library,"2530 Workman Street, Los Angeles, 90031",Match,Non_Exact,"2530 WORKMAN ST, LOS ANGELES, CA, 90031",-118.2143283,34.07551237,141621953,R,06,037,199201,3003
Ted Watkins Memorial Park," 1335 E. 103rd St, Los Angeles, 90002",Match,Non_Exact,"1335 E 103RD ST, LOS ANGELES, CA, 90002",-118.2512041,33.94334545,655821600,L,06,037,535200,3017
