RECORD ID NUMBER,INPUT ADDRESS ,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,LONGITUDE ,LATITUDE,TIGERLINE ID,TIGERLINE ID SIDE,STATE CODE,COUNTY CODE,TRACT CODE,BLOCK CODE
City Terrace Park,"1126 N. Hazard Ave, Los Angeles , 90063",Match,Non_Exact,"1126 N HAZARD AVE, LOS ANGELES, CA, 90063",-118.1788796,34.0512897,141623980,R,06,037,530802,2017
Granada Hills Branch Library,"10640 Petit Avenue, Granada Hills, 91344",Match,Non_Exact,"10640 PETIT AVE, GRANADA HILLS, CA, 91344",-118.4978368,34.26380846,141543011,R,06,037,111402,1000
Willowbrook Senior Center,"12915 Jarvis Avenue, Los Angeles, 90061",Match,Non_Exact,"12915 JARVIS AVE, LOS ANGELES, CA, 90061",-118.2718199,33.91559666,142761821,R,06,037,540902,3007
Rowland Heights Library,"1850 Nogales Street, Rowland Heights, 91748",Match,Non_Exact,"1850 S NOGALES ST, ROWLAND HEIGHTS, CA, 91748",-117.8889476,33.98416652,142801505,L,06,037,408705,1000
George Nye Jr. Library,"6600 Del Amo Blvd. , Lakewood , 90713",Match,Non_Exact,"6600 DEL AMO BLVD, LAKEWOOD, CA, 90713",-118.102513,33.84649049,632867012,R,06,037,571000,1000
Franklin D. Roosevelt park,"7600 Graham Ave, Los Angeles, 90001",Match,Non_Exact,"7600 GRAHAM AVE, LOS ANGELES, CA, 90001",-118.2429353,33.97253522,142661811,L,06,037,534900,4001
Acton/Agua Dulce Library ,"33792 Crown Valley Rd., Acton, 93510",Match,Non_Exact,"33792 CROWN VALLEY RD, ACTON, CA, 93510",-118.1982067,34.49508178,647682428,R,06,037,910804,1017
Henderson Library,"4805 Emerald Street, Torrance, 90503",Match,Non_Exact,"4805 EMERALD ST, TORRANCE, CA, 90503",-118.3639758,33.84141147,655820625,R,06,037,650603,1018
Mona Park,"2291 E 121st St, Compton, 90222",Match,Non_Exact,"2291 E 121ST ST, COMPTON, CA, 90222",-118.2319729,33.9222248,141674589,L,06,037,540600,1009
Southeast LA Comprehensive AJCC,"4354 Tweedy Blvd., South Gate, 90280",Match,Non_Exact,"4354 TWEEDY BLVD, SOUTH GATE, CA, 90280",-118.1954492,33.94303354,141678799,R,06,037,535902,3000
South LA AJCC,"1600 W. Imperial Hwy., Los Angeles, 90047",Match,Non_Exact,"1600 W IMPERIAL HWY, LOS ANGELES, CA, 90047",-118.3047243,33.93083822,640423727,L,06,037,602801,2003
Buena Vista Library,"300 N. Buena Vista St., Burbank, 91505",Match,Non_Exact,"300 N BUENA VISTA ST, BURBANK, CA, 91505",-118.3303111,34.16291757,652035807,R,06,037,311700,3004
Pomona Public Library,"505 S Garey Ave, Pomona, 91766",Match,Non_Exact,"505 S GAREY AVE, POMONA, CA, 91766",-117.7501139,34.05502177,141733926,R,06,037,408800,2046
Robert Louis Stevenson Branch Library,"803 Spence Street, Los Angeles, 90023",Match,Non_Exact,"803 S SPENCE ST, LOS ANGELES, CA, 90023",-118.1979354,34.02770121,141624951,R,06,037,204810,2002
Jackie Robinson Park,"8773 E Avenue R, Littlerock, 93543",Match,Non_Exact,"8773 E AVE R, LITTLEROCK, CA, 93543",-117.9703548,34.57235052,142806580,L,06,037,911100,2024
Irwindale Senior Center,"16116 Arrow Highway, Irwindale, 91706",Match,Non_Exact,"16116 ARROW HWY, IRWINDALE, CA, 91706",-117.9311356,34.10693182,640125532,R,06,037,404600,1120
Hart Park House Senior Center,"222 W Sierra Madre Blvd, Sierra Madre, 91024",Match,Non_Exact,"222 W SIERRA MADRE BLVD, SIERRA MADRE, CA, 91024",-118.0575337,34.16179987,655821899,L,06,037,430502,5000
La Puente Library,"15920 E. Central Avenue, La Puente , 91744",Match,Non_Exact,"15920 CENTRAL AVE, LA PUENTE, CA, 91744",-117.9511901,34.01982587,141713876,R,06,037,407702,4006
Clifton M. Brakensiek Library,"9945 E. Flower Street , Bellflower, 90706",Match,Non_Exact,"9945 FLOWER ST, BELLFLOWER, CA, 90706",-118.1208148,33.88217245,141742562,L,06,037,554204,2000
Val Verde Community Regional Park ,"30300 Arlington St, Val Verde, 91384",Match,Non_Exact,"30300 ARLINGTON ST, VAL VERDE, CA, 91384",-118.6662129,34.44706992,142831421,R,06,037,920106,1055
West Covina AJCC,"933 S. Glendora Avenue, West Covina, 91790",Match,Non_Exact,"933 S GLENDORA AVE, WEST COVINA, CA, 91790",-117.9349729,34.05864777,640417457,R,06,037,406702,2000
El Monte Library,"3224 N Tyler Avenue, El Monte, 91731",Match,Non_Exact,"3224 TYLER AVE, EL MONTE, CA, 91731",-118.0359042,34.06677095,241242062,R,06,037,433200,2005
Malabar Branch Library,"2801 Wabash Avenue, Los Angeles, 90033",Match,Non_Exact,"2801 WABASH AVE, LOS ANGELES, CA, 90033",-118.1978891,34.05051166,141622896,L,06,037,203200,1005
Pico Union Branch Library,"1030 S. Alvarado Street, Los Angeles, 90006",Match,Non_Exact,"1030 S ALVARADO ST, LOS ANGELES, CA, 90006",-118.2800757,34.05123284,141605427,L,06,037,209520,2003
South El Monte Senior Center ,"1556 Central Avenue , South El Monte , 91733",Match,Non_Exact,"1556 CENTRAL AVE, SOUTH EL MONTE, CA, 91733",-118.0468658,34.04619794,142746635,R,06,037,434100,4008
