TRACT,TRACTFIPS,HWAV_EVNTS,HWAV_RISKV,HWAV_RISKS,HWAV_RISKR
75404,6059075404,35,2569.634791,30.63668363,Relatively Low
75405,6059075405,35,1398.610148,24.45416924,Relatively Low
75504,6059075504,35,1266.41095,23.6764496,Relatively Low
75505,6059075505,35,1384.657606,24.37806212,Relatively Low
75506,6059075506,35,1290.371364,23.81439376,Relatively Low
75507,6059075507,35,2259.174336,29.23464777,Relatively Low
75512,6059075512,35,1355.277995,24.19849688,Relatively Low
75513,6059075513,35,2063.694569,28.25001189,Relatively Low
75514,6059075514,35,1777.673213,26.74808543,Relatively Low
75516,6059075516,35,3115.061416,33.06021976,Relatively Low
75517,6059075517,35,3097.362874,32.99362603,Relatively Low
75518,6059075518,35,3703.364599,35.42667555,Relatively Low
75603,6059075603,35,1118.425463,22.65851686,Relatively Low
75604,6059075604,35,1965.088105,27.73509965,Relatively Low
75605,6059075605,35,1444.350016,24.74076012,Relatively Low
75606,6059075606,35,1404.200797,24.49341198,Relatively Low
75607,6059075607,35,1865.062565,27.21780907,Relatively Low
75701,6059075701,35,2258.284092,29.2287019,Relatively Low
75702,6059075702,35,945.9205933,21.43723541,Relatively Low
75703,6059075703,35,931.9009237,21.34804738,Relatively Low
75805,6059075805,35,1640.529088,25.99652761,Relatively Low
75806,6059075806,35,3075.128176,32.89373543,Relatively Low
75807,6059075807,35,1248.874728,23.55515388,Relatively Low
75808,6059075808,35,843.3190111,20.68805594,Relatively Low
75809,6059075809,35,813.3410012,20.50135566,Relatively Low
75810,6059075810,35,703.0626001,19.70460924,Relatively Low
75811,6059075811,35,1258.47085,23.62055844,Relatively Low
75812,6059075812,35,2624.894881,30.88165343,Relatively Low
75813,6059075813,35,1440.844646,24.72411169,Relatively Low
75814,6059075814,35,699.3342184,19.66774485,Relatively Low
75815,6059075815,35,1799.466226,26.87889454,Relatively Low
75816,6059075816,35,1496.72416,25.08324216,Relatively Low
75901,6059075901,35,1683.277454,26.2236598,Relatively Low
