GEOID,heatrisk_class,Tree Canopy Class
06037237900,1,0
06037237900,1,1
06037235202,1,0
06037235202,1,0
06037235202,1,0
06037235201,0,0
06037235201,0,1
06037235201,0,0
06037600912,1,1
06037600912,1,2
06037237300,1,0
06037237300,1,0
06037237300,1,0
06037237300,1,0
06037237300,1,0
06037237402,1,0
06037237402,1,0
06037237402,1,0
06037234902,1,0
06037234902,1,0
06037234902,1,0
06037234901,1,0
06037234901,1,0
06037239602,1,1
06037239602,1,0
06037237800,1,1
06037237800,1,0
06037237800,1,0
06037237800,1,0
06037535001,1,0
06037535001,1,0
06037237710,1,0
06037237710,1,0
06037239601,1,0
06037239601,1,1
06037239501,1,0
06037239501,1,1
06037239501,1,1
06037237500,1,0
06037237500,1,0
06037237401,1,0
06037237401,1,0
06037237401,1,1
06037237600,1,1
06037237600,1,0
06037237600,1,0
06037237600,1,0
06037239310,1,0
06037239310,1,0
06037239310,1,0
06037276601,0,0
06037276601,0,2
06037276601,0,2
06037276601,0,2
06037276500,0,2
06037276500,0,2
06037274202,0,0
06037274202,0,1
06037274202,0,0
06037274202,0,0
06037273902,0,2
06037273902,0,1
06037273902,0,0
06037273902,0,2
06037273902,0,2
06037273502,0,0
06037273502,0,0
06037273502,0,1
06037273502,0,2
06037274100,1,1
06037274100,1,2
06037601302,2,1
06037277000,0,1
06037277000,0,2
06037277000,0,1
06037277000,0,1
06037277000,0,2
06037600911,0,1
06037600911,0,2
06037601301,0,2
06037601301,0,1
06037239320,1,0
06037239320,1,0
06037239330,0,1
06037239330,0,0
06037237101,1,0
06037237101,1,0
06037237101,1,0
06037237101,1,1
06037237101,1,0
06037239202,2,0
06037239202,2,0
06037239202,2,0
06037237102,1,0
06037237102,1,0
06037239201,1,0
06037239201,1,0
06037239201,1,0
06037229410,1,0
06037229410,1,0
06037275311,1,1
06037275311,1,1
06037275311,1,1
06037275311,1,2
06037275400,0,2
06037275400,0,0
06037273600,0,3
06037273600,0,3
06037273600,0,2
06037273600,0,2
06037273800,0,2
06037273800,0,1
06037273800,0,3
06037702803,0,1
06037702803,0,1
06037702803,0,0
06037275200,1,1
06037275200,1,2
06037275200,1,1
06037273300,0,1
06037273300,0,2
06037273300,0,2
06037273200,0,2
